ProductBrand,ProductName,ProductPrice,ProductRate
Apple,iPhone 11 128 Gb Akıllı Telefon Beyaz,18999,4.0
Apple,iPhone 11 64 Gb Akıllı Telefon Beyaz,17999,4.0
Apple,iPhone 11 64 Gb Siyah,17999,4.0
Apple,iPhone 11 128 Gb Akıllı Telefon Siyah,18999,4.0
Apple,iPhone 13 128 Gb Akıllı Telefon Mavi,27999,4.0
Apple,iPhone 14 256 Gb Akıllı Telefon Gece Yarısı Siyahı,33599,0.0
Apple,iPhone 14 Plus 512 Gb Akıllı Telefon Siyah,42899,0.0
Apple,iPhone 14 Plus 512 Gb Akıllı Telefon Yıldız Işığı,42899,0.0
Apple,iPhone 14 512 Gb Akıllı Telefon Gece Yarısı Siyahı,38899,0.0
Apple,iPhone 12 256 Gb Akıllı Telefon Yeşil,26499,4.0
Apple,iPhone 14 Plus 512 Gb Akıllı Telefon Mor,42899,0.0
Apple,iPhone 13 Mini 512 Gb Akıllı Telefon Mavi,29999,4.0
Apple,iPhone 13 Mini 512 Gb Akıllı Telefon Pembe,29999,0.0
Apple,iPhone 14 256 Gb Akıllı Telefon Mor,33599,0.0
Apple,iPhone 13 Mini 512 Gb Akıllı Telefon Yıldız Işığı,29999,0.0
Apple,iPhone 14 Pro 1 Tb Akıllı Telefon Uzay Siyahı,53199,0.0
Apple,iPhone 14 Pro 256 Gb Akıllı Telefon Uzay Siyahı,42599,0.0
Apple,iPhone 14 Pro 128 Gb Akıllı Telefon Derin Mor,39999,5.0
Apple,iPhone 14 Plus 512 Gb Akıllı Telefon Mavi,42899,0.0
Apple,iPhone 14 Plus 512 Gb Akıllı Telefon Kırmızı,42899,0.0
Apple,iPhone 14 Pro Max 128 Gb Akıllı Telefon Derin Mor,43999,0.0
Apple,iPhone 14 Plus 256 Gb Akıllı Telefon Kırmızı,37599,0.0
Apple,iPhone 14 512 Gb Akıllı Telefon Kırmızı,38899,0.0
